Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
conn-bench-vowel-deterding,VAT,1,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.9090909090909091,0.9090909090909091,0.009090909090909092,0.9204545454545454,0.998428731762065,0.9639759391400524,44s,30978ms
conn-bench-vowel-deterding,VAT,2,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8888888888888888,0.8888888888888888,0.011111111111111112,0.8942214351305261,0.9959595959595959,0.960364427798768,44s,31249ms
conn-bench-vowel-deterding,VAT,3,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8181818181818182,0.8181818181818182,0.01818181818181818,0.7800045913682279,0.990909090909091,0.9188195115430209,42s,78125ms
conn-bench-vowel-deterding,VAT,4,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.8686868686868687,0.8686868686868686,0.013131313131313131,0.8907148407148407,0.9962962962962962,0.9553809939299223,41s,55960ms
conn-bench-vowel-deterding,VAT,5,"{'net__criterion__VAT_eps': 1.4177535121896694, 'net__criterion__alpha': 0.6613095178849963, 'net__lr': 0.0065657724221074455}",0.8686868686868687,0.8686868686868686,0.013131313131313131,0.9009240759240759,0.9937149270482604,0.9032445303529686,42s,49942ms
conn-bench-vowel-deterding,VAT,6,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8585858585858586,0.8585858585858586,0.014141414141414142,0.8824609733700641,0.9884399551066219,0.8753549692158168,44s,62500ms
conn-bench-vowel-deterding,VAT,7,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8585858585858586,0.8585858585858585,0.014141414141414142,0.8925727866904336,0.9916947250280582,0.9032404996508142,43s,62500ms
conn-bench-vowel-deterding,VAT,8,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.9191919191919192,0.9191919191919191,0.00808080808080808,0.9295454545454546,0.9965207631874298,0.9591023904883389,42s,55960ms
conn-bench-vowel-deterding,VAT,9,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.8787878787878788,0.8787878787878789,0.012121212121212121,0.8971074380165288,0.9945005611672278,0.9275477291322115,37s,78124ms
conn-bench-vowel-deterding,VAT,10,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.9292929292929293,0.9292929292929292,0.007070707070707071,0.9310606060606061,0.9946127946127946,0.9651732321777898,36s,93750ms
